SplitRatio,LearningRate,Epochs,Accuracy
0.9,0.500,20,50.00
0.9,0.500,20,50.00
0.9,0.500,20,50.00
0.9,0.500,20,50.00
0.9,0.500,20,50.00
0.9,0.500,20,50.00
0.9,0.500,20,50.00
0.9,0.500,20,50.00
0.9,0.500,20,50.00
0.9,0.500,20,50.00
0.9,0.500,50,70.00
0.9,0.500,50,70.00
0.9,0.500,50,70.00
0.9,0.500,50,70.00
0.9,0.500,50,60.00
0.9,0.500,50,80.00
0.9,0.500,50,80.00
0.9,0.500,50,70.00
0.9,0.500,50,70.00
0.9,0.500,50,70.00
0.9,0.500,80,90.00
0.9,0.500,80,70.00
0.9,0.500,80,60.00
0.9,0.500,80,90.00
0.9,0.500,80,90.00
0.9,0.500,80,70.00
0.9,0.500,80,90.00
0.9,0.500,80,70.00
0.9,0.500,80,80.00
0.9,0.500,80,70.00
0.9,0.500,100,70.00
0.9,0.500,100,70.00
0.9,0.500,100,70.00
0.9,0.500,100,60.00
0.9,0.500,100,60.00
0.9,0.500,100,60.00
0.9,0.500,100,60.00
0.9,0.500,100,60.00
0.9,0.500,100,60.00
0.9,0.500,100,60.00
0.9,0.500,120,90.00
0.9,0.500,120,60.00
0.9,0.500,120,70.00
0.9,0.500,120,90.00
0.9,0.500,120,70.00
0.9,0.500,120,70.00
0.9,0.500,120,60.00
0.9,0.500,120,70.00
0.9,0.500,120,70.00
0.9,0.500,120,70.00
0.9,0.500,150,100.00
0.9,0.500,150,100.00
0.9,0.500,150,90.00
0.9,0.500,150,80.00
0.9,0.500,150,80.00
0.9,0.500,150,100.00
0.9,0.500,150,90.00
0.9,0.500,150,100.00
0.9,0.500,150,100.00
0.9,0.500,150,70.00
0.9,0.500,200,100.00
0.9,0.500,200,100.00
0.9,0.500,200,100.00
0.9,0.500,200,100.00
0.9,0.500,200,90.00
0.9,0.500,200,100.00
0.9,0.500,200,100.00
0.9,0.500,200,100.00
0.9,0.500,200,90.00
0.9,0.500,200,100.00
0.9,0.500,300,100.00
0.9,0.500,300,100.00
0.9,0.500,300,100.00
0.9,0.500,300,90.00
0.9,0.500,300,100.00
0.9,0.500,300,100.00
0.9,0.500,300,100.00
0.9,0.500,300,80.00
0.9,0.500,300,100.00
0.9,0.500,300,100.00
0.9,0.200,20,50.00
0.9,0.200,20,50.00
0.9,0.200,20,50.00
0.9,0.200,20,50.00
0.9,0.200,20,50.00
0.9,0.200,20,50.00
0.9,0.200,20,50.00
0.9,0.200,20,50.00
0.9,0.200,20,50.00
0.9,0.200,20,50.00
0.9,0.200,50,60.00
0.9,0.200,50,100.00
0.9,0.200,50,70.00
0.9,0.200,50,50.00
0.9,0.200,50,60.00
