LearningRate,Epochs,Accuracy
0.50,20,50.00
0.50,20,50.00
0.50,20,50.00
0.50,20,50.00
0.50,20,50.00
0.50,20,50.00
0.50,20,50.00
0.50,20,50.00
0.50,20,50.00
0.50,20,50.00
0.50,50,70.00
0.50,50,55.00
0.50,50,70.00
0.50,50,55.00
0.50,50,70.00
0.50,50,55.00
0.50,50,55.00
0.50,50,70.00
0.50,50,80.00
0.50,50,55.00
0.50,100,65.00
0.50,100,60.00
0.50,100,65.00
0.50,100,65.00
0.50,100,65.00
0.50,100,90.00
0.50,100,70.00
0.50,100,65.00
0.50,100,55.00
0.50,100,70.00
0.50,150,80.00
0.50,150,95.00
0.50,150,75.00
0.50,150,95.00
0.50,150,70.00
0.50,150,95.00
0.50,150,95.00
0.50,150,75.00
0.50,150,90.00
0.50,150,75.00
0.50,200,90.00
0.50,200,95.00
0.50,200,90.00
0.50,200,90.00
0.50,200,95.00
0.50,200,90.00
0.50,200,95.00
0.50,200,95.00
0.50,200,95.00
0.50,200,95.00
0.50,300,95.00
0.50,300,95.00
0.50,300,95.00
0.50,300,90.00
0.50,300,95.00
0.50,300,95.00
0.50,300,95.00
0.50,300,95.00
0.50,300,95.00
0.50,300,95.00
0.50,500,95.00
0.50,500,90.00
0.50,500,90.00
0.50,500,95.00
0.50,500,95.00
0.50,500,95.00
0.50,500,90.00
0.50,500,95.00
0.50,500,95.00
0.50,500,95.00
0.20,20,50.00
0.20,20,50.00
0.20,20,50.00
0.20,20,50.00
0.20,20,50.00
0.20,20,50.00
0.20,20,50.00
0.20,20,50.00
0.20,20,50.00
0.20,20,50.00
0.20,50,70.00
0.20,50,80.00
0.20,50,70.00
0.20,50,55.00
0.20,50,55.00
0.20,50,70.00
0.20,50,70.00
0.20,50,55.00
0.20,50,70.00
0.20,50,70.00
0.20,100,65.00
0.20,100,90.00
0.20,100,65.00
0.20,100,70.00
0.20,100,70.00
0.20,100,90.00
0.20,100,70.00
0.20,100,65.00
0.20,100,60.00
0.20,100,75.00
0.20,150,90.00
0.20,150,65.00
0.20,150,90.00
0.20,150,80.00
0.20,150,75.00
0.20,150,95.00
0.20,150,65.00
0.20,150,75.00
0.20,150,95.00
0.20,150,80.00
0.20,200,95.00
0.20,200,95.00
0.20,200,95.00
0.20,200,95.00
0.20,200,90.00
0.20,200,90.00
0.20,200,95.00
0.20,200,90.00
0.20,200,95.00
0.20,200,95.00
0.20,300,95.00
0.20,300,95.00
0.20,300,100.00
0.20,300,95.00
0.20,300,95.00
0.20,300,95.00
0.20,300,95.00
0.20,300,95.00
0.20,300,95.00
0.20,300,95.00
0.20,500,95.00
0.20,500,95.00
0.20,500,100.00
0.20,500,95.00
0.20,500,90.00
0.20,500,90.00
0.20,500,95.00
0.20,500,95.00
0.20,500,90.00
0.20,500,90.00
0.10,20,50.00
0.10,20,50.00
0.10,20,50.00
0.10,20,50.00
0.10,20,50.00
0.10,20,50.00
0.10,20,50.00
0.10,20,50.00
0.10,20,50.00
0.10,20,50.00
0.10,50,70.00
0.10,50,70.00
0.10,50,70.00
0.10,50,55.00
0.10,50,70.00
0.10,50,70.00
0.10,50,70.00
0.10,50,80.00
0.10,50,70.00
0.10,50,70.00
0.10,100,95.00
0.10,100,65.00
0.10,100,65.00
0.10,100,65.00
0.10,100,70.00
0.10,100,65.00
0.10,100,65.00
0.10,100,60.00
0.10,100,75.00
0.10,100,65.00
0.10,150,80.00
0.10,150,95.00
0.10,150,95.00
0.10,150,75.00
0.10,150,75.00
0.10,150,95.00
0.10,150,90.00
0.10,150,75.00
0.10,150,75.00
0.10,150,90.00
0.10,200,95.00
0.10,200,100.00
0.10,200,95.00
0.10,200,90.00
0.10,200,90.00
0.10,200,95.00
0.10,200,90.00
0.10,200,90.00
0.10,200,95.00
0.10,200,95.00
0.10,300,75.00
0.10,300,75.00
0.10,300,95.00
0.10,300,95.00
0.10,300,95.00
0.10,300,95.00
0.10,300,75.00
0.10,300,100.00
0.10,300,95.00
0.10,300,95.00
0.10,500,95.00
0.10,500,95.00
0.10,500,95.00
0.10,500,95.00
0.10,500,95.00
0.10,500,95.00
0.10,500,95.00
0.10,500,95.00
0.10,500,95.00
0.10,500,95.00
0.08,20,50.00
0.08,20,50.00
0.08,20,50.00
0.08,20,50.00
0.08,20,50.00
0.08,20,50.00
0.08,20,50.00
0.08,20,50.00
0.08,20,50.00
0.08,20,50.00
0.08,50,70.00
0.08,50,50.00
0.08,50,80.00
0.08,50,70.00
0.08,50,60.00
0.08,50,55.00
0.08,50,80.00
0.08,50,70.00
0.08,50,80.00
0.08,50,70.00
0.08,100,70.00
0.08,100,75.00
0.08,100,90.00
0.08,100,70.00
0.08,100,70.00
0.08,100,70.00
0.08,100,70.00
0.08,100,90.00
0.08,100,70.00
0.08,100,65.00
0.08,150,75.00
0.08,150,75.00
0.08,150,95.00
0.08,150,80.00
0.08,150,80.00
0.08,150,95.00
0.08,150,75.00
0.08,150,90.00
0.08,150,95.00
0.08,150,95.00
0.08,200,95.00
0.08,200,95.00
0.08,200,95.00
0.08,200,80.00
0.08,200,95.00
0.08,200,95.00
0.08,200,75.00
0.08,200,95.00
0.08,200,100.00
0.08,200,95.00
0.08,300,100.00
0.08,300,95.00
0.08,300,95.00
0.08,300,95.00
0.08,300,95.00
0.08,300,95.00
0.08,300,95.00
0.08,300,95.00
0.08,300,95.00
0.08,300,100.00
0.08,500,90.00
0.08,500,95.00
0.08,500,90.00
0.08,500,95.00
0.08,500,90.00
0.08,500,95.00
0.08,500,95.00
0.08,500,95.00
0.08,500,100.00
0.08,500,95.00
0.05,20,55.00
0.05,20,50.00
0.05,20,50.00
0.05,20,50.00
0.05,20,50.00
0.05,20,50.00
0.05,20,50.00
0.05,20,50.00
0.05,20,50.00
0.05,20,50.00
0.05,50,80.00
0.05,50,55.00
0.05,50,60.00
0.05,50,75.00
0.05,50,60.00
0.05,50,70.00
0.05,50,80.00
0.05,50,70.00
0.05,50,70.00
0.05,50,70.00
0.05,100,75.00
0.05,100,70.00
0.05,100,70.00
0.05,100,70.00
0.05,100,65.00
0.05,100,60.00
0.05,100,65.00
0.05,100,90.00
0.05,100,65.00
0.05,100,65.00
0.05,150,75.00
0.05,150,80.00
0.05,150,75.00
0.05,150,90.00
0.05,150,70.00
0.05,150,95.00
0.05,150,80.00
0.05,150,90.00
0.05,150,95.00
0.05,150,70.00
0.05,200,95.00
0.05,200,75.00
0.05,200,90.00
0.05,200,95.00
0.05,200,90.00
0.05,200,70.00
0.05,200,95.00
0.05,200,95.00
0.05,200,95.00
0.05,200,95.00
0.05,300,95.00
0.05,300,95.00
0.05,300,95.00
0.05,300,100.00
0.05,300,75.00
0.05,300,95.00
0.05,300,90.00
0.05,300,95.00
0.05,300,95.00
0.05,300,95.00
0.05,500,95.00
0.05,500,95.00
0.05,500,95.00
0.05,500,95.00
0.05,500,95.00
0.05,500,95.00
0.05,500,95.00
0.05,500,95.00
0.05,500,95.00
0.05,500,90.00
0.02,20,50.00
0.02,20,70.00
0.02,20,50.00
0.02,20,55.00
0.02,20,50.00
0.02,20,50.00
0.02,20,50.00
0.02,20,55.00
0.02,20,50.00
0.02,20,50.00
0.02,50,75.00
0.02,50,70.00
0.02,50,80.00
0.02,50,60.00
0.02,50,90.00
0.02,50,85.00
0.02,50,65.00
0.02,50,85.00
0.02,50,60.00
0.02,50,60.00
0.02,100,85.00
0.02,100,70.00
0.02,100,75.00
0.02,100,70.00
0.02,100,55.00
0.02,100,70.00
0.02,100,70.00
0.02,100,70.00
0.02,100,70.00
0.02,100,70.00
0.02,150,90.00
0.02,150,90.00
0.02,150,90.00
0.02,150,90.00
0.02,150,70.00
0.02,150,70.00
0.02,150,65.00
0.02,150,80.00
0.02,150,95.00
0.02,150,70.00
0.02,200,75.00
0.02,200,90.00
0.02,200,95.00
0.02,200,90.00
0.02,200,95.00
0.02,200,95.00
0.02,200,95.00
0.02,200,100.00
0.02,200,70.00
0.02,200,95.00
0.02,300,95.00
0.02,300,95.00
0.02,300,95.00
0.02,300,75.00
0.02,300,95.00
0.02,300,95.00
0.02,300,75.00
0.02,300,95.00
0.02,300,95.00
0.02,300,95.00
0.02,500,90.00
0.02,500,100.00
0.02,500,95.00
0.02,500,95.00
0.02,500,95.00
0.02,500,95.00
0.02,500,90.00
0.02,500,95.00
0.02,500,90.00
0.02,500,95.00
0.01,20,50.00
0.01,20,50.00
0.01,20,60.00
0.01,20,50.00
0.01,20,50.00
0.01,20,55.00
0.01,20,55.00
0.01,20,50.00
0.01,20,50.00
0.01,20,50.00
0.01,50,60.00
0.01,50,70.00
0.01,50,75.00
0.01,50,70.00
0.01,50,70.00
0.01,50,60.00
0.01,50,80.00
0.01,50,55.00
0.01,50,70.00
0.01,50,70.00
0.01,100,95.00
0.01,100,75.00
0.01,100,70.00
0.01,100,60.00
0.01,100,65.00
0.01,100,95.00
0.01,100,95.00
0.01,100,60.00
0.01,100,65.00
0.01,100,70.00
0.01,150,95.00
0.01,150,90.00
0.01,150,95.00
0.01,150,90.00
0.01,150,75.00
0.01,150,95.00
0.01,150,75.00
0.01,150,75.00
0.01,150,90.00
0.01,150,70.00
0.01,200,95.00
0.01,200,85.00
0.01,200,90.00
0.01,200,90.00
0.01,200,95.00
0.01,200,100.00
0.01,200,95.00
0.01,200,95.00
0.01,200,95.00
0.01,200,95.00
0.01,300,95.00
0.01,300,95.00
0.01,300,95.00
0.01,300,95.00
0.01,300,95.00
0.01,300,75.00
0.01,300,80.00
0.01,300,95.00
0.01,300,100.00
0.01,300,95.00
0.01,500,95.00
0.01,500,95.00
0.01,500,95.00
0.01,500,90.00
0.01,500,95.00
0.01,500,95.00
0.01,500,95.00
0.01,500,95.00
0.01,500,95.00
0.01,500,90.00
