Epoch,Accuracy
1,2.61
2,4.04
3,4.88
4,5.07
5,5.18
6,5.40
7,5.47
8,5.47
9,5.47
10,5.51
11,5.51
12,5.58
13,5.58
14,5.55
15,5.58
16,5.62
17,5.66
18,5.69
19,5.69
20,5.69
21,5.69
22,5.73
23,5.80
24,5.80
25,5.84
26,5.84
27,5.84
28,5.77
29,5.77
30,5.77
31,5.77
32,5.77
33,5.80
34,5.80
35,5.80
36,5.80
37,5.77
38,5.80
39,5.80
40,5.80
41,5.73
42,5.77
43,5.80
44,5.80
45,5.77
46,5.77
47,5.77
48,5.77
49,5.77
50,5.73
51,5.69
52,5.69
53,5.69
54,5.66
55,5.66
56,5.66
57,5.66
58,5.66
59,5.66
60,5.66
61,5.66
62,5.66
63,5.66
64,5.66
65,5.62
66,5.62
67,5.62
68,5.62
69,5.62
70,5.62
71,5.62
72,5.62
73,5.62
74,5.62
75,5.66
76,5.66
77,5.66
78,5.66
79,5.66
80,5.69
81,5.69
82,5.69
83,5.69
84,5.66
85,5.69
86,5.69
87,5.69
88,5.69
89,5.69
90,5.69
91,5.69
92,5.69
93,5.69
94,5.69
95,5.69
96,5.69
97,5.69
98,5.69
99,5.69
100,5.69
101,5.69
102,5.69
103,5.69
104,5.69
105,5.66
106,5.66
107,5.66
108,5.62
109,5.62
110,5.62
111,5.58
112,5.58
113,5.58
114,5.58
115,5.58
116,5.58
117,5.58
118,5.58
119,5.58
120,5.58
121,5.58
122,5.58
123,5.58
124,5.58
125,5.58
126,5.58
127,5.58
128,5.58
129,5.58
130,5.58
131,5.58
132,5.58
133,5.58
134,5.58
135,5.58
136,5.55
137,5.55
138,5.55
139,5.55
140,5.55
141,5.55
142,5.55
143,5.55
144,5.55
145,5.55
146,5.55
147,5.55
148,5.55
149,5.55
150,5.51
151,5.51
152,5.51
153,5.51
154,5.51
155,5.51
156,5.51
157,5.51
158,5.51
159,5.51
160,5.51
161,5.55
162,5.55
163,5.55
164,5.55
165,5.55
166,5.55
167,5.55
168,5.55
169,5.55
170,5.51
171,5.51
172,5.51
173,5.51
174,5.51
175,5.51
176,5.47
177,5.47
178,5.47
179,5.47
180,5.47
181,5.47
182,5.47
183,5.47
184,5.47
185,5.47
186,5.47
187,5.47
188,5.47
189,5.47
190,5.47
191,5.47
192,5.47
193,5.47
194,5.47
195,5.47
196,5.47
197,5.44
198,5.44
199,5.44
200,5.44
