Epoch,Setosa vs Rest,Versicolor vs Rest,Virginica vs Rest,Setosa vs Versicolor,Setosa vs Virginica,Versicolor vs Virginica
1,66.67,66.67,76.67,50.00,100.00,50.00
2,66.67,66.67,73.33,50.00,100.00,50.00
3,66.67,66.67,73.33,80.00,100.00,50.00
4,66.67,66.67,73.33,50.00,100.00,50.00
5,66.67,66.67,73.33,50.00,100.00,50.00
6,66.67,66.67,73.33,50.00,100.00,50.00
7,66.67,66.67,73.33,100.00,100.00,50.00
8,66.67,66.67,73.33,100.00,100.00,50.00
9,66.67,66.67,73.33,100.00,100.00,50.00
10,76.67,66.67,73.33,100.00,100.00,50.00
11,66.67,66.67,73.33,100.00,100.00,50.00
12,100.00,66.67,73.33,100.00,100.00,50.00
13,100.00,66.67,73.33,100.00,100.00,50.00
14,100.00,66.67,76.67,100.00,100.00,50.00
15,100.00,66.67,76.67,100.00,100.00,50.00
16,100.00,66.67,80.00,100.00,100.00,50.00
17,100.00,66.67,76.67,100.00,100.00,50.00
18,100.00,36.67,80.00,100.00,100.00,50.00
19,100.00,66.67,83.33,100.00,100.00,50.00
20,100.00,66.67,83.33,100.00,100.00,50.00
21,100.00,66.67,83.33,100.00,100.00,50.00
22,100.00,66.67,80.00,100.00,100.00,50.00
23,100.00,66.67,83.33,100.00,100.00,50.00
24,100.00,33.33,83.33,100.00,100.00,50.00
25,100.00,33.33,86.67,100.00,100.00,50.00
26,100.00,66.67,80.00,100.00,100.00,50.00
27,100.00,66.67,83.33,100.00,100.00,50.00
28,100.00,66.67,80.00,100.00,100.00,50.00
29,100.00,33.33,83.33,100.00,100.00,50.00
30,100.00,33.33,90.00,100.00,100.00,50.00
31,100.00,66.67,83.33,100.00,100.00,50.00
32,100.00,66.67,86.67,100.00,100.00,50.00
33,100.00,66.67,73.33,100.00,100.00,50.00
34,100.00,33.33,73.33,100.00,100.00,50.00
35,100.00,36.67,73.33,100.00,100.00,50.00
36,100.00,66.67,73.33,100.00,100.00,50.00
37,100.00,66.67,73.33,100.00,100.00,50.00
38,100.00,66.67,73.33,100.00,100.00,50.00
39,100.00,33.33,73.33,100.00,100.00,55.00
40,100.00,36.67,76.67,100.00,100.00,60.00
41,100.00,66.67,73.33,100.00,100.00,55.00
42,100.00,66.67,73.33,100.00,100.00,60.00
43,100.00,66.67,96.67,100.00,100.00,60.00
44,100.00,33.33,96.67,100.00,100.00,60.00
45,100.00,50.00,96.67,100.00,100.00,65.00
46,100.00,66.67,96.67,100.00,100.00,65.00
47,100.00,66.67,96.67,100.00,100.00,70.00
48,100.00,36.67,80.00,100.00,100.00,60.00
49,100.00,50.00,76.67,100.00,100.00,65.00
50,100.00,66.67,73.33,100.00,100.00,65.00
51,100.00,66.67,73.33,100.00,100.00,65.00
52,100.00,36.67,96.67,100.00,100.00,70.00
53,100.00,50.00,96.67,100.00,100.00,60.00
54,100.00,66.67,96.67,100.00,100.00,65.00
55,100.00,66.67,96.67,100.00,100.00,65.00
